CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
724718389,09/04/2014,17:25:00,09/04/2014,17:35:00,81,09/04/2014,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,,,NA,1005945,188862,,,,,40.685040958,-73.921776995,(40.685040958, -73.921776995),PATROL BORO BKLYN NORTH,,25-44,WHITE,F
191133903,10/12/2016,07:40:00,10/12/2016,07:45:00,121,10/12/2016,109,GRAND LARCENY,417,LARCENY,GRAND FROM PERSON,PURS,COMPLETED,FELONY,STATEN ISLAND,,STREET,N.Y. POLICE DEPT,0,,,NA,947034,171375,UNKNOWN,BLACK,U,,40.63699139,-74.134092508,(40.63699139, -74.134092508),PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,F
720151206,09/28/2012,13:30:00,09/28/2012,14:00:00,41,10/19/2012,109,GRAND LARCENY,413,LARCENY,GRAND BY FALSE PROMISE,COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1014179,239453,,WHITE HISPANIC,M,,40.823876276,-73.891862968,(40.823876276, -73.891862968),PATROL BORO BRONX,,45-64,WHITE HISPANIC,F
232242098,03/24/2015,15:45:00,,,46,03/24/2015,341,PETIT LARCENY,339,LARCENY,PETIT FROM OPEN AREAS,,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1009041,247401,,BLACK,M,,40.845707148,-73.910398033,(40.845707148, -73.910398033),PATROL BORO BRONX,,<18,WHITE HISPANIC,F
708078702,05/20/2017,04:02:00,05/20/2017,04:09:00,109,05/20/2017,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1031779,217663,25-44,WHITE HISPANIC,M,,40.763991557,-73.828425559,(40.763991557, -73.828425559),PATROL BORO QUEENS NORTH,,25-44,BLACK,M
979489575,04/16/2015,15:50:00,,,41,04/16/2015,341,PETIT LARCENY,333,LARCENY,PETIT FROM STORE-SHOPL,ATTEMPTED,MISDEMEANOR,BRONX,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,NA,1011589,237996,25-44,WHITE HISPANIC,M,,40.819885621,-73.901226998,(40.819885621, -73.901226998),PATROL BORO BRONX,,,UNKNOWN,D
442311293,02/01/2011,17:00:00,02/01/2011,17:30:00,70,02/01/2011,578,HARRASSMENT 2,638,HARASSMENT,SUBD 3,4,5,COMPLETED,VIOLATION,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,994575,164311,,,,,40.617674365,-73.962810741,(40.617674365, -73.962810741),PATROL BORO BKLYN SOUTH,,18-24,WHITE,F
490654258,02/01/2014,05:00:00,,,20,02/01/2014,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,17402,987794,221085,,BLACK,F,,40.773511104,-73.987206072,(40.773511104, -73.987206072),PATROL BORO MAN NORTH,,25-44,UNKNOWN,M
696394455,05/12/2017,07:14:00,,,32,05/12/2017,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,INSIDE,,N.Y. POLICE DEPT,,,,NA,999845,235403,25-44,BLACK,M,,40.812797101,-73.943663498,(40.812797101, -73.943663498),,,25-44,UNKNOWN,M
430798229,10/16/2007,02:00:00,12/31/2007,03:00:00,83,03/11/2016,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1006965,193571,25-44,WHITE HISPANIC,M,,40.697963515,-73.918083362,(40.697963515, -73.918083362),PATROL BORO BKLYN NORTH,,<18,WHITE HISPANIC,F
905837935,10/16/2016,19:55:00,10/16/2016,20:00:00,46,10/16/2016,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1011706,250569,,,,,40.854394482,-73.900752818,(40.854394482, -73.900752818),PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
811425127,09/02/2015,15:00:00,09/02/2015,15:06:00,83,09/02/2015,341,PETIT LARCENY,338,LARCENY,PETIT FROM BUILDING,UN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,BANK,N.Y. POLICE DEPT,0,,,NA,1006293,194328,,UNKNOWN,U,,40.700043002,-73.920504347,(40.700043002, -73.920504347),PATROL BORO BKLYN NORTH,,25-44,WHITE,M
655374680,07/09/2015,10:00:00,07/09/2015,18:00:00,26,07/09/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,MISCHIEF, CRIMINAL 4, OF MOTOR,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,NA,996175,236405,,,,,40.815553027,-73.956919829,(40.815553027, -73.956919829),PATROL BORO MAN NORTH,,,UNKNOWN,E
130142085,03/24/2017,02:35:00,03/24/2017,02:40:00,61,03/24/2017,107,BURGLARY,223,BURGLARY,RESIDENCE,NIGHT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,995783,157786,UNKNOWN,WHITE,M,,40.599763087,-73.958470662,(40.599763087, -73.958470662),PATROL BORO BKLYN SOUTH,,45-64,WHITE,F
995490028,01/01/2006,00:01:00,01/01/2006,23:59:00,75,10/21/2012,116,SEX CRIMES,179,AGGRAVATED SEXUAL ASBUSE,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1017141,183798,,BLACK,M,,40.671106911,-73.881432957,(40.671106911, -73.881432957),PATROL BORO BKLYN NORTH,,<18,BLACK,F
722182197,12/04/2014,00:30:00,,,23,12/04/2014,351,CRIMINAL MISCHIEF & RELATED OF,259,CRIMINAL MISCHIEF,UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,672,999155,226676,<18,BLACK,M,,40.788845063,-73.946175538,(40.788845063, -73.946175538),PATROL BORO MAN NORTH,,25-44,BLACK,F
442745200,02/22/2014,19:02:00,02/22/2014,19:10:00,106,02/22/2014,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING,ALCOHOL,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1032524,189230,,,,,40.685945981,-73.825940125,(40.685945981, -73.825940125),PATROL BORO QUEENS SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
513506140,03/11/2014,14:00:00,03/11/2014,14:00:00,42,03/11/2014,235,DANGEROUS DRUGS,567,MARIJUANA, POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1012461,242851,,,,,40.833208464,-73.898056095,(40.833208464, -73.898056095),PATROL BORO BRONX,,,UNKNOWN,E
907474278,06/04/2017,10:00:00,06/05/2017,10:00:00,106,06/12/2017,109,GRAND LARCENY,412,LARCENY,GRAND FROM RESIDENCE, UNATTENDED,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,1034059,190445,25-44,ASIAN / PACIFIC ISLANDER,M,,40.689272367,-73.820396416,(40.689272367, -73.820396416),PATROL BORO QUEENS SOUTH,,45-64,ASIAN / PACIFIC ISLANDER,M
288889108,09/27/2016,01:30:00,09/27/2016,09:30:00,68,09/27/2016,578,HARRASSMENT 2,637,HARASSMENT,SUBD 1,CIVILIAN,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,976592,166860,45-64,WHITE,F,,40.624673544,-74.027588487,(40.624673544, -74.027588487),PATROL BORO BKLYN SOUTH,,65+,WHITE,M
790735533,02/18/2013,05:00:00,02/18/2013,05:25:00,110,02/18/2013,233,SEX CRIMES,175,SEXUAL ABUSE 3,2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,NA,,NA,1020255,210816,,,,,40.745252741,-73.87006287,(40.745252741, -73.87006287),PATROL BORO QUEENS NORTH,,18-24,WHITE HISPANIC,M
600057949,03/01/2013,20:45:00,,,75,03/01/2013,352,CRIMINAL TRESPASS,205,TRESPASS 2, CRIMINAL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1013181,183852,,,,,40.671268956,-73.895708082,(40.671268956, -73.895708082),PATROL BORO BKLYN NORTH,,,UNKNOWN,M
573937565,05/06/2014,04:00:00,05/06/2014,05:02:00,52,05/06/2014,109,GRAND LARCENY,408,LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM),COMPLETED,FELONY,BRONX,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,NA,1016145,259815,,,,11,40.879757004,-73.884662621,(40.879757004, -73.884662621),PATROL BORO BRONX,MOSHOLU PKWY.,25-44,WHITE HISPANIC,M
